timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584217734061,5230,Auth,200,OK,Main thread Group 1-148,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5230,0,94
1584217734112,5230,Register player,201,Created,Main thread Group 1-16,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5230,0,0
1584217734079,5343,Auth,200,OK,Main thread Group 1-151,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5343,0,81
1584217734111,5318,Register player,201,Created,Main thread Group 1-23,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5318,0,0
1584217734072,5358,Auth,200,OK,Main thread Group 1-150,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5358,0,79
1584217734085,5359,Auth,200,OK,Main thread Group 1-152,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5359,0,91
1584217734270,5197,Register player,401,Unauthorized,Main thread Group 1-157,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /201/	,573,475,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5196,0,0
1584217734096,5398,Auth,200,OK,Main thread Group 1-154,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5398,0,80
1584217734287,5224,Register player,401,Unauthorized,Main thread Group 1-156,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /201/	,573,475,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5224,0,0
1584217734107,5474,Register player,201,Created,Main thread Group 1-19,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5474,0,0
1584217734103,5528,Register player,201,Created,Main thread Group 1-8,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5528,0,0
1584217734121,5519,Auth,200,OK,Main thread Group 1-158,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5519,0,80
1584217734127,5527,Auth,200,OK,Main thread Group 1-159,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5527,0,81
1584217734130,5560,Register player,201,Created,Main thread Group 1-21,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5560,0,0
1584217734127,5564,Register player,201,Created,Main thread Group 1-20,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5564,0,0
1584217734125,5604,Register player,201,Created,Main thread Group 1-7,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5604,0,0
1584217734103,5803,Auth,200,OK,Main thread Group 1-155,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5803,0,78
1584217734553,5423,Get player profile,404,Not Found,Main thread Group 1-6,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /201/	,281,198,156,156,http://test-api.d6.dev.devcaz.com/v2/players/,5423,0,0
1584217734143,5860,Auth,200,OK,Main thread Group 1-160,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5860,0,80
1584217734179,5826,Register player,201,Created,Main thread Group 1-22,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,5826,0,0
1584217734090,5977,Auth,200,OK,Main thread Group 1-153,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,5977,0,93
1584217734748,5429,Get games list,401,Unauthorized,Main thread Group 1-24,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /201/	,573,195,156,156,http://test-api.d6.dev.devcaz.com/v2/games,5429,0,0
